出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月20日 週五,上午11:00。,TPE,"上午10:25 (星期六, 12月 21)。",XMN,廈門航空,需轉機 1 次的航班。,9 小時 15 分鐘,20 小時 25 分鐘,No,Boeing 737,MF 888,經濟艙,"08/12 - $9,884, 08/13 - $9,883, 08/14 - $9,881, 08/15 - $9,883, 08/16 - $9,876, 08/17 - $9,884, 08/18 - $9,884, 08/19 - $9,884, 08/20 - $9,868, 08/21 - $9,860, 08/22 - $9,861, 08/23 - $9,859, 08/24 - $9,861, 08/25 - $9,861, 08/26 - $9,861, 08/27 - $9,861, 08/28 - $9,859, 08/29 - $9,869, 08/30 - $9,873, 08/31 - $9,878, 09/01 - $9,878, 09/02 - $9,878, 09/03 - $9,888, 09/04 - $9,889, 09/05 - $9,883, 09/06 - $9,887, 09/07 - $9,887, 09/08 - $9,887, 09/09 - $9,887, 09/10 - $9,879, 09/11 - $9,877, 09/12 - $9,881, 09/13 - $9,879, 09/14 - $9,883, 09/15 - $9,883, 09/16 - $9,883, 09/17 - $9,872, 09/18 - $9,867, 09/19 - $9,872, 09/20 - $9,888, 09/21 - $12,456, 09/22 - $12,456, 09/23 - $12,456, 09/24 - $16,987, 09/25 - $8,580, 09/26 - $8,576, 09/27 - $8,578, 09/28 - $8,571, 09/29 - $7,301, 09/30 - $7,301, 10/01 - $7,281, 10/02 - $7,294, 10/03 - $8,578, 10/04 - $8,577, 10/05 - $7,315, 10/06 - $7,315, 10/07 - $7,315, 10/08 - $7,328, 10/09 - $7,312, 10/10 - $7,311, "
12月20日 週五,上午10:30。,TPE,"上午10:45 (星期六, 12月 21)。",MNL,宿霧太平洋航空,需轉機 1 次的航班。,9 小時 55 分鐘,21 小時 15 分鐘,No,Airbus A321neo,5J 313,經濟艙,"08/12 - $9,993, 08/13 - $12,812, 08/14 - $9,998, 08/15 - $10,012, 08/16 - $10,012, 08/17 - $9,352, 08/18 - $9,352, 08/19 - $9,352, 08/20 - $9,396, 08/21 - $9,394, 08/22 - $12,753, 08/23 - $13,421, 08/24 - $13,436, 08/25 - $13,443, 08/26 - $13,443, 08/27 - $13,443, 08/28 - $13,459, 08/29 - $12,468, 08/30 - $12,468, 08/31 - $12,475, 09/01 - $12,475, 09/02 - $12,255, 09/03 - $11,393, 09/04 - $11,381, 09/05 - $11,937, 09/06 - $11,937, 09/07 - $11,953, 09/08 - $12,555, 09/09 - $12,555, 09/10 - $12,555, 09/11 - $12,534, 09/12 - $11,392, 09/13 - $11,881, 09/14 - $11,871, 09/15 - $11,871, 09/16 - $11,871, 09/17 - $11,825, 09/18 - $11,816, 09/19 - $11,816, 09/20 - $11,862, 09/21 - $11,862, 09/22 - $11,876, 09/23 - $11,876, 09/24 - $11,876, 09/25 - $11,880, 09/26 - $12,262, 09/27 - $12,262, 09/28 - $12,247, 09/29 - $12,247, 09/30 - $12,247, 10/01 - $11,970, 10/02 - $11,970, 10/03 - $11,990, 10/04 - $12,010, 10/05 - $12,031, 10/06 - $12,031, 10/07 - $12,031, 10/08 - $12,052, 10/09 - $12,052, 10/10 - $12,328, "
12月20日 週五,清晨6:25。,TPE,"上午8:05 (星期六, 12月 21)。",SGN,越捷航空,需轉機 1 次的航班。,10 小時 40 分鐘,22 小時 40 分鐘,No,Airbus A321,VJ 841,經濟艙,"08/12 - $9,468, 08/13 - $9,468, 08/14 - $9,468, 08/15 - $9,468, 08/16 - $9,468, 08/17 - $9,468, 08/18 - $9,468, 08/19 - $9,468, 08/20 - $9,468, 08/21 - $9,468, 08/22 - $9,468, 08/23 - $9,468, 08/24 - $9,468, 08/25 - $9,468, 08/26 - $9,468, 08/27 - $9,468, 08/28 - $9,468, 08/29 - $9,468, 08/30 - $9,468, 08/31 - $9,468, 09/01 - $9,468, 09/02 - $9,468, 09/03 - $9,468, 09/04 - $9,468, 09/05 - $9,343, 09/06 - $9,343, 09/07 - $9,343, 09/08 - $9,343, 09/09 - $9,343, 09/10 - $9,343, 09/11 - $9,343, 09/12 - $9,343, 09/13 - $9,343, 09/14 - $9,343, 09/15 - $9,472, 09/16 - $9,472, 09/17 - $9,472, 09/18 - $9,472, 09/19 - $9,472, 09/20 - $9,472, 09/21 - $9,472, 09/22 - $9,472, 09/23 - $9,472, 09/24 - $9,472, 09/25 - $9,472, 09/26 - $9,472, 09/27 - $9,472, 09/28 - $9,472, 09/29 - $9,472, 09/30 - $9,472, 10/01 - $9,472, 10/02 - $9,472, 10/03 - $9,472, 10/04 - $9,472, 10/05 - $9,442, 10/06 - $9,442, 10/07 - $9,442, 10/08 - $9,442, 10/09 - $9,442, 10/10 - $9,442, "
12月20日 週五,下午1:40。,TPE,"清晨7:30 (星期六, 12月 21)。",SZX,中國南方航空,需轉機 1 次的航班。,2 小時 50 分鐘,14 小時 50 分鐘,No,Airbus A330,CZ 3088,經濟艙,"08/12 - $11,562, 08/13 - $11,563, 08/14 - $11,565, 08/15 - $11,566, 08/16 - $9,961, 08/17 - $9,966, 08/18 - $9,966, 08/19 - $9,966, 08/20 - $9,965, 08/21 - $9,962, 08/22 - $9,964, 08/23 - $9,964, 08/24 - $9,964, 08/25 - $9,964, 08/26 - $9,964, 08/27 - $9,969, 08/28 - $9,966, 08/29 - $9,970, 08/30 - $9,972, 08/31 - $9,974, 09/01 - $9,974, 09/02 - $9,974, 09/03 - $9,974, 09/04 - $9,977, 09/05 - $9,972, 09/06 - $9,971, 09/07 - $9,971, 09/08 - $9,971, 09/09 - $9,971, 09/10 - $9,963, 09/11 - $9,963, 09/12 - $9,965, 09/13 - $9,964, 09/14 - $9,969, 09/15 - $9,969, 09/16 - $9,969, 09/17 - $9,963, 09/18 - $9,963, 09/19 - $9,967, 09/20 - $9,973, 09/21 - $9,978, 09/22 - $9,978, 09/23 - $9,978, 09/24 - $9,981, 09/25 - $9,988, 09/26 - $9,987, 09/27 - $9,986, 09/28 - $9,985, 09/29 - $9,985, 09/30 - $9,985, 10/01 - $9,978, 10/02 - $9,985, 10/03 - $9,990, 10/04 - $9,990, 10/05 - $9,991, 10/06 - $9,991, 10/07 - $9,991, 10/08 - $9,993, 10/09 - $9,985, 10/10 - $9,981, "
12月20日 週五,晚上7:45。,TSA,"上午10:25 (星期日, 12月 22)。",XMN,廈門航空,需轉機 1 次的航班。,24 小時 30 分鐘,35 小時 40 分鐘,No,Boeing 737,MF 882,未找到艙等,
12月20日 週五,凌晨2:15。,TPE,"上午10:45 (星期六, 12月 21)。",MNL,宿霧太平洋航空,需轉機 1 次的航班。,18 小時 20 分鐘,29 小時 30 分鐘,No,Airbus A321neo,5J 311,經濟艙,"08/12 - $9,343, 08/13 - $9,351, 08/14 - $9,348, 08/15 - $9,362, 08/16 - $9,362, 08/17 - $9,352, 08/18 - $9,352, 08/19 - $9,352, 08/20 - $9,352, 08/21 - $9,394, 08/22 - $12,753, 08/23 - $12,771, 08/24 - $12,786, 08/25 - $12,793, 08/26 - $12,793, 08/27 - $12,858, 08/28 - $12,809, 08/29 - $12,028, 08/30 - $12,028, 08/31 - $12,035, 09/01 - $12,035, 09/02 - $11,815, 09/03 - $10,593, 09/04 - $10,581, 09/05 - $11,137, 09/06 - $11,137, 09/07 - $11,653, 09/08 - $12,255, 09/09 - $12,255, 09/10 - $12,265, 09/11 - $12,234, 09/12 - $11,392, 09/13 - $11,441, 09/14 - $11,431, 09/15 - $11,431, 09/16 - $11,431, 09/17 - $11,825, 09/18 - $11,816, 09/19 - $12,256, 09/20 - $12,302, 09/21 - $12,302, 09/22 - $12,316, 09/23 - $12,316, 09/24 - $12,316, 09/25 - $12,302, 09/26 - $12,262, 09/27 - $12,262, 09/28 - $12,247, 09/29 - $12,247, 09/30 - $12,247, 10/01 - $11,970, 10/02 - $11,550, 10/03 - $11,550, 10/04 - $12,010, 10/05 - $12,031, 10/06 - $12,031, 10/07 - $12,031, 10/08 - $12,031, 10/09 - $12,003, 10/10 - $11,992, "
12月20日 週五,晚上7:00。,TPE,"清晨7:10 (星期日, 12月 22)。",HAN,越捷航空,需轉機 1 次的航班。,20 小時 5 分鐘,33 小時 10 分鐘,No,Airbus A321,VJ 943,經濟艙,"08/12 - $9,468, 08/13 - $9,468, 08/14 - $9,468, 08/15 - $9,468, 08/16 - $9,468, 08/17 - $9,468, 08/18 - $9,468, 08/19 - $9,468, 08/20 - $9,468, 08/21 - $9,468, 08/22 - $9,468, 08/23 - $9,468, 08/24 - $9,468, 08/25 - $9,468, 08/26 - $9,468, 08/27 - $9,468, 08/28 - $9,468, 08/29 - $9,468, 08/30 - $9,468, 08/31 - $9,468, 09/01 - $9,468, 09/02 - $9,468, 09/03 - $9,468, 09/04 - $9,468, 09/05 - $9,343, 09/06 - $9,343, 09/07 - $9,343, 09/08 - $9,343, 09/09 - $9,343, 09/10 - $9,343, 09/11 - $9,343, 09/12 - $9,343, 09/13 - $9,343, 09/14 - $9,343, 09/15 - $9,472, 09/16 - $9,472, 09/17 - $9,472, 09/18 - $9,472, 09/19 - $9,472, 09/20 - $9,472, 09/21 - $9,472, 09/22 - $9,472, 09/23 - $9,472, 09/24 - $9,472, 09/25 - $9,472, 09/26 - $9,472, 09/27 - $9,472, 09/28 - $9,472, 09/29 - $10,566, 09/30 - $10,566, 10/01 - $10,566, 10/02 - $9,472, 10/03 - $9,472, 10/04 - $9,472, 10/05 - $9,442, 10/06 - $9,442, 10/07 - $9,442, 10/08 - $9,442, 10/09 - $9,442, 10/10 - $9,442, "
12月20日 週五,下午2:35。,TPE,"晚上8:20 (星期六, 12月 21)。",CAN,中國南方航空,需轉機 1 次的航班。,未找到停留時間,26 小時 45 分鐘,No,Airbus A330,CZ 3098,經濟艙,"08/12 - $11,562, 08/13 - $11,563, 08/14 - $11,565, 08/15 - $11,566, 08/16 - $9,961, 08/17 - $9,966, 08/18 - $9,966, 08/19 - $9,966, 08/20 - $9,965, 08/21 - $9,962, 08/22 - $9,964, 08/23 - $9,964, 08/24 - $9,964, 08/25 - $9,964, 08/26 - $9,964, 08/27 - $9,969, 08/28 - $9,966, 08/29 - $9,970, 08/30 - $9,972, 08/31 - $9,974, 09/01 - $9,974, 09/02 - $9,974, 09/03 - $9,974, 09/04 - $9,977, 09/05 - $9,972, 09/06 - $9,971, 09/07 - $9,971, 09/08 - $9,971, 09/09 - $9,971, 09/10 - $9,963, 09/11 - $9,963, 09/12 - $9,965, 09/13 - $9,964, 09/14 - $9,964, 09/15 - $9,969, 09/16 - $9,969, 09/17 - $9,963, 09/18 - $9,963, 09/19 - $9,967, 09/20 - $9,973, 09/21 - $9,978, 09/22 - $9,978, 09/23 - $9,978, 09/24 - $9,981, 09/25 - $9,988, 09/26 - $9,987, 09/27 - $9,986, 09/28 - $9,985, 09/29 - $9,985, 09/30 - $9,985, 10/01 - $9,978, 10/02 - $9,985, 10/03 - $9,990, 10/04 - $9,990, 10/05 - $9,991, 10/06 - $9,991, 10/07 - $9,991, 10/08 - $9,993, 10/09 - $9,985, 10/10 - $9,981, "
12月20日 週五,下午4:10。,TPE,"晚上8:35 (星期六, 12月 21)。",SIN,酷航,需轉機 1 次的航班。,未找到停留時間,25 小時 25 分鐘,No,Boeing 787,TR 899,經濟艙,"09/06 - $13,423, 09/07 - $13,351, 09/08 - $13,351, 09/09 - $13,423, 09/10 - $13,423, 09/11 - $13,351, 09/12 - $13,423, 09/13 - $13,423, 09/14 - $13,351, 09/15 - $13,423, 09/16 - $13,423, 09/17 - $13,423, 09/18 - $13,423, 09/19 - $11,523, 09/20 - $12,223, 09/21 - $12,223, 09/22 - $10,451, 09/23 - $10,451, 09/24 - $10,523, 09/25 - $10,523, 09/26 - $10,523, 09/27 - $10,451, 09/28 - $12,223, 09/29 - $12,223, 09/30 - $12,151, 10/01 - $10,539, 10/02 - $10,539, 10/03 - $10,467, 10/04 - $10,539, 10/05 - $12,239, 10/06 - $12,239, 10/07 - $12,239, 10/08 - $10,539, 10/09 - $10,539, 10/10 - $10,539"
12月20日 週五,晚上11:55。,TPE,"晚上8:50 (星期六, 12月 21)。",KUL,亞洲航空 X,需轉機 1 次的航班。,4 小時 25 分鐘,17 小時 55 分鐘,No,Airbus A330,D7 379,經濟艙,"08/12 - $13,464, 08/13 - $12,224, 08/14 - $12,224, 08/15 - $12,237, 08/16 - $12,237, 08/17 - $12,237, 08/18 - $12,241, 08/19 - $12,221, 08/20 - $12,221, 08/21 - $12,221, 08/22 - $12,221, 08/23 - $12,234, 08/24 - $12,234, 08/25 - $12,242, 08/26 - $12,242, 08/27 - $12,242, 08/28 - $12,242, 08/29 - $12,242, 08/30 - $12,242, 08/31 - $12,242, 09/01 - $12,242, 09/02 - $12,242, 09/03 - $11,742, 09/04 - $11,742, 09/05 - $11,742, 09/06 - $11,742, 09/07 - $11,742, 09/08 - $11,742, 09/09 - $11,742, 09/10 - $11,742, 09/11 - $11,763, 09/12 - $11,605, 09/13 - $11,605, 09/14 - $11,605, 09/15 - $11,643, 09/16 - $11,648, 09/17 - $11,648, 09/18 - $11,650, 09/19 - $11,650, 09/20 - $11,700, 09/21 - $11,726, 09/22 - $11,735, 09/23 - $11,735, 09/24 - $11,735, 09/25 - $11,735, 09/26 - $11,764, 09/27 - $11,796, 09/28 - $11,796, 09/29 - $11,758, 09/30 - $11,763, 10/01 - $11,763, 10/02 - $11,770, 10/03 - $12,256, 10/04 - $12,256, 10/05 - $12,217, 10/06 - $12,255, 10/07 - $12,261, 10/08 - $12,202, 10/09 - $12,187, 10/10 - $12,184, "
