出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月20日 週五,晚上11:40。,TPE,晚上7:00。,LAX,星宇航空,直達航班。,Non-stop,11 小時 20 分鐘,No,Airbus A350,JX 2,經濟艙,"08/20 - $21,990, 08/21 - $21,970, 08/22 - $20,509, 08/23 - $20,509, 08/24 - $20,514, 08/25 - $20,514, 08/26 - $20,514, 08/27 - $20,499, 08/28 - $20,499, 08/29 - $20,508, 08/30 - $20,512, 08/31 - $20,508, 09/01 - $20,508, 09/02 - $20,508, 09/03 - $20,517, 09/04 - $20,521, 09/05 - $20,524, 09/06 - $20,528, 09/07 - $20,521, 09/08 - $20,313, 09/09 - $19,415, 09/10 - $19,414, 09/11 - $19,417, 09/12 - $19,426, 09/13 - $21,878, 09/14 - $21,875, 09/15 - $21,875, 09/16 - $21,875, 09/17 - $21,860, 09/18 - $21,853, 09/19 - $21,856, 09/20 - $21,862, 09/21 - $21,860, 09/22 - $21,860, 09/23 - $21,860, 09/24 - $21,862, 09/25 - $21,868, 09/26 - $21,859, 09/27 - $21,857, 09/28 - $21,847, 09/29 - $21,847, 09/30 - $21,847, 10/01 - $21,836, 10/02 - $21,841, 10/03 - $21,857, 10/04 - $21,859, 10/05 - $21,871, 10/06 - $21,871, 10/07 - $21,871, 10/08 - $21,894, 10/09 - $21,884, 10/10 - $21,885, 10/11 - $21,887, 10/12 - $21,890, 10/13 - $21,890, 10/14 - $21,890, 10/15 - $19,832, 10/16 - $19,835, 10/17 - $18,450, 10/18 - $19,834, "
12月20日 週五,上午11:20。,TPE,清晨6:50。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"08/20 - $23,021, 08/21 - $22,996, 08/22 - $22,933, 08/23 - $22,933, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,427, 08/30 - $21,433, 08/31 - $24,555, 09/01 - $24,555, 09/02 - $24,555, 09/03 - $24,567, 09/04 - $24,572, 09/05 - $24,576, 09/06 - $24,581, 09/07 - $24,572, 09/08 - $24,364, 09/09 - $24,364, 09/10 - $24,363, 09/11 - $24,367, 09/12 - $21,310, 09/13 - $21,307, 09/14 - $24,443, 09/15 - $24,443, 09/16 - $24,443, 09/17 - $24,424, 09/18 - $24,414, 09/19 - $24,418, 09/20 - $24,426, 09/21 - $24,424, 09/22 - $24,424, 09/23 - $24,424, 09/24 - $24,365, 09/25 - $24,373, 09/26 - $24,361, 09/27 - $24,358, 09/28 - $24,346, 09/29 - $24,346, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $24,376, 10/07 - $24,376, 10/08 - $22,771, 10/09 - $22,758, 10/10 - $22,760, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, "
12月20日 週五,晚上11:55。,TPE,晚上7:25。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 16,經濟艙,"08/20 - $24,660, 08/21 - $22,996, 08/22 - $22,933, 08/23 - $22,933, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,487, 08/30 - $24,561, 08/31 - $24,555, 09/01 - $24,555, 09/02 - $24,555, 09/03 - $21,438, 09/04 - $21,443, 09/05 - $21,447, 09/06 - $24,581, 09/07 - $24,572, 09/08 - $24,364, 09/09 - $24,364, 09/10 - $24,363, 09/11 - $24,367, 09/12 - $24,449, 09/13 - $24,446, 09/14 - $24,443, 09/15 - $24,443, 09/16 - $24,443, 09/17 - $24,424, 09/18 - $24,414, 09/19 - $24,418, 09/20 - $24,426, 09/21 - $24,424, 09/22 - $24,424, 09/23 - $24,424, 09/24 - $24,365, 09/25 - $24,373, 09/26 - $24,361, 09/27 - $24,358, 09/28 - $24,346, 09/29 - $24,346, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $22,742, 10/07 - $24,376, 10/08 - $22,771, 10/09 - $22,758, 10/10 - $22,760, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, "
12月20日 週五,晚上7:40。,TPE,下午3:10。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 12,經濟艙,"08/20 - $27,560, 08/21 - $27,535, 08/22 - $27,459, 08/23 - $27,459, 08/24 - $27,465, 08/25 - $27,465, 08/26 - $27,465, 08/27 - $27,447, 08/28 - $27,446, 08/29 - $27,446, 08/30 - $27,452, 08/31 - $27,446, 09/01 - $27,446, 09/02 - $27,446, 09/03 - $27,458, 09/04 - $27,463, 09/05 - $27,467, 09/06 - $27,472, 09/07 - $27,463, 09/08 - $27,255, 09/09 - $27,255, 09/10 - $27,254, 09/11 - $27,258, 09/12 - $27,350, 09/13 - $27,347, 09/14 - $27,344, 09/15 - $27,344, 09/16 - $27,344, 09/17 - $27,325, 09/18 - $27,315, 09/19 - $27,319, 09/20 - $27,327, 09/21 - $27,325, 09/22 - $27,325, 09/23 - $27,325, 09/24 - $27,257, 09/25 - $27,265, 09/26 - $27,253, 09/27 - $27,250, 09/28 - $27,238, 09/29 - $27,238, 09/30 - $24,346, 10/01 - $24,330, 10/02 - $24,337, 10/03 - $24,357, 10/04 - $24,360, 10/05 - $24,376, 10/06 - $27,268, 10/07 - $27,268, 10/08 - $24,405, 10/09 - $24,392, 10/10 - $24,394, 10/11 - $24,396, 10/12 - $24,400, 10/13 - $24,400, 10/14 - $24,400, 10/15 - $22,410, 10/16 - $22,414, 10/17 - $22,414, 10/18 - $25,024, "
12月20日 週五,下午4:55。,TPE,中午12:30。,LAX,中華航空,直達航班。,Non-stop,11 小時 35 分鐘,No,Airbus A350,CI 6,經濟艙,"08/20 - $21,280, 08/21 - $21,255, 08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,232, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,467, 09/12 - $20,478, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,455, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $24,318, 09/28 - $24,306, 09/29 - $24,306, 09/30 - $24,306, 10/01 - $24,290, 10/02 - $24,395, 10/03 - $22,461, 10/04 - $22,464, 10/05 - $22,480, 10/06 - $22,480, 10/07 - $22,480, 10/08 - $22,509, 10/09 - $20,503, 10/10 - $20,505, 10/11 - $20,507, 10/12 - $20,511, 10/13 - $20,511, 10/14 - $20,511, 10/15 - $20,499, 10/16 - $20,503, 10/17 - $20,503, 10/18 - $19,552, "
12月20日 週五,晚上11:50。,TPE,晚上7:35。,LAX,中華航空,直達航班。,Non-stop,11 小時 45 分鐘,No,Boeing 777,CI 8,經濟艙,"08/20 - $21,280, 08/21 - $21,255, 08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,220, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,467, 09/12 - $20,478, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,455, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $17,630, 09/28 - $17,618, 09/29 - $17,618, 09/30 - $22,675, 10/01 - $22,659, 10/02 - $22,756, 10/03 - $21,200, 10/04 - $21,203, 10/05 - $21,219, 10/06 - $21,219, 10/07 - $21,219, 10/08 - $21,248, 10/09 - $19,379, 10/10 - $19,381, 10/11 - $19,383, 10/12 - $19,387, 10/13 - $19,387, 10/14 - $19,387, 10/15 - $19,375, 10/16 - $19,379, 10/17 - $19,379, 10/18 - $18,493, "
12月20日 週五,上午11:30。,TPE,上午10:01。,SFO,長榮航空、阿拉斯加航空,需轉機 1 次的航班。,2 小時 7 分鐘,14 小時 31 分鐘,No,Boeing 777,BR 8,經濟艙,"08/19 - $22,696, 08/20 - $22,677, 08/21 - $22,651, 08/22 - $22,644, 08/23 - $22,644, 08/24 - $22,651, 08/25 - $22,651, 08/26 - $22,651, 08/27 - $22,632, 08/28 - $22,631, 08/29 - $22,642, 08/30 - $22,648, 08/31 - $22,642, 09/01 - $22,650, 09/02 - $22,650, 09/03 - $22,663, 09/04 - $22,668, 09/05 - $22,672, 09/06 - $22,677, 09/07 - $22,668, 09/08 - $22,460, 09/09 - $22,460, 09/10 - $22,459, 09/11 - $22,463, 09/12 - $22,475, 09/13 - $22,471, 09/14 - $22,468, 09/15 - $22,468, 09/16 - $22,468, 09/17 - $22,448, 09/18 - $22,438, 09/19 - $22,442, 09/20 - $22,451, 09/21 - $22,448, 09/22 - $22,448, 09/23 - $22,448, 09/24 - $22,451, 09/25 - $22,459, 09/26 - $22,446, 09/27 - $22,443, 09/28 - $22,431, 09/29 - $22,431, 09/30 - $22,431, 10/01 - $22,380, 10/02 - $22,388, 10/03 - $22,409, 10/04 - $22,412, 10/05 - $22,429, 10/06 - $22,429, 10/07 - $22,429, 10/08 - $22,459, 10/09 - $22,446, 10/10 - $22,448, 10/11 - $22,448, 10/12 - $22,454, 10/13 - $22,454, 10/14 - $22,454, 10/15 - $22,442, 10/16 - $22,446, 10/17 - $22,446, 10/18 - $22,445"
12月20日 週五,下午3:50。,TPE,下午2:46。,SFO,聯合航空,需轉機 1 次的航班。,未找到停留時間,14 小時 56 分鐘,No,Boeing 777,UA 852,經濟艙,"08/20 - $20,351, 08/21 - $20,330, 08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, "
12月20日 週五,上午11:10。,TPE,上午10:08。,SFO,聯合航空,需轉機 1 次的航班。,未找到停留時間,14 小時 58 分鐘,No,Boeing 777,UA 872,經濟艙,"08/20 - $20,351, 08/21 - $20,330, 08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, "
12月20日 週五,下午1:30。,TSA,中午12:40。,HND,全日空航空、聯合航空,需轉機 1 次的航班。,2 小時 10 分鐘,15 小時 10 分鐘,No,Boeing 787,NH 852,經濟艙,"09/05 - $30,804, 09/06 - $30,811, 09/07 - $30,806, 09/08 - $30,806, 09/09 - $30,806, 09/10 - $30,808, 09/11 - $30,810, 09/12 - $30,613, 09/13 - $30,613, 09/14 - $30,607, 09/15 - $30,607, 09/16 - $30,607, 09/17 - $30,593, 09/18 - $30,586, 09/19 - $30,586, 09/20 - $30,593, 09/21 - $30,588, 09/22 - $30,588, 09/23 - $30,588, 09/24 - $30,588, 09/25 - $30,596, 09/26 - $30,585, 09/27 - $30,582, 09/28 - $30,569, 09/29 - $30,569, 09/30 - $30,569, 10/01 - $30,560, 10/02 - $30,565, 10/03 - $30,582, 10/04 - $20,652, 10/05 - $20,662, 10/06 - $20,662, 10/07 - $20,662, 10/08 - $20,686, 10/09 - $20,675, 10/10 - $20,676, 10/11 - $20,677, 10/12 - $20,680, 10/13 - $20,680, 10/14 - $20,680, 10/15 - $20,669, 10/16 - $20,672, 10/17 - $20,672, 10/18 - $36,001, "
12月20日 週五,上午10:35。,TPE,上午9:45。,NRT,日本航空,需轉機 1 次的航班。,2 小時 30 分鐘,15 小時 10 分鐘,No,Boeing 787,JL 802,經濟艙,"08/19 - $37,673, 08/20 - $37,656, 08/21 - $33,035, 08/22 - $28,130, 08/23 - $33,031, 08/24 - $33,036, 08/25 - $33,036, 08/26 - $33,036, 08/27 - $37,624, 08/28 - $33,024, 08/29 - $33,033, 08/30 - $33,038, 08/31 - $33,033, 09/01 - $33,066, 09/02 - $33,066, 09/03 - $33,072, 09/04 - $33,074, 09/05 - $33,082, 09/06 - $33,091, 09/07 - $32,876, 09/08 - $32,876, 09/09 - $32,876, 09/10 - $32,879, 09/11 - $32,883, 09/12 - $37,492, 09/13 - $37,493, 09/14 - $37,488, 09/15 - $32,888, 09/16 - $32,888, 09/17 - $37,474, 09/18 - $37,467, 09/19 - $37,468, 09/20 - $37,223, 09/21 - $37,218, 09/22 - $37,218, 09/23 - $37,218, 09/24 - $37,217, 09/25 - $41,774, 09/26 - $41,764, 09/27 - $41,761, 09/28 - $41,745, 09/29 - $41,745, 09/30 - $41,745, 10/01 - $41,739, 10/02 - $41,743, 10/03 - $41,761, 10/04 - $41,759, 10/05 - $41,768, 10/06 - $41,768, 10/07 - $41,768, 10/08 - $41,792, 10/09 - $41,781, 10/10 - $41,783, 10/11 - $41,783, 10/12 - $41,783, 10/13 - $41,786, 10/14 - $41,786, 10/15 - $41,775, 10/16 - $41,777, 10/17 - $41,778, 10/18 - $41,776"
12月20日 週五,上午10:45。,TPE,上午10:00。,SEA,達美航空,需轉機 1 次的航班。,1 小時 5 分鐘,15 小時 15 分鐘,No,Airbus A330-900neo,DL 68,經濟艙,"08/20 - $24,666, 08/21 - $24,645, 08/22 - $24,639, 08/23 - $24,639, 08/24 - $24,645, 08/25 - $29,209, 08/26 - $29,209, 08/27 - $29,193, 08/28 - $29,193, 08/29 - $29,202, 08/30 - $29,206, 08/31 - $29,202, 09/01 - $29,202, 09/02 - $29,202, 09/03 - $29,212, 09/04 - $29,216, 09/05 - $29,219, 09/06 - $29,223, 09/07 - $29,216, 09/08 - $29,216, 09/09 - $29,216, 09/10 - $29,215, 09/11 - $29,010, 09/12 - $29,020, 09/13 - $29,017, 09/14 - $29,014, 09/15 - $29,014, 09/16 - $29,014, 09/17 - $28,998, 09/18 - $28,991, 09/19 - $24,430, 09/20 - $24,437, 09/21 - $24,434, 09/22 - $24,434, 09/23 - $24,434, 09/24 - $24,437, 09/25 - $24,443, 09/26 - $24,433, 09/27 - $24,431, 09/28 - $24,421, 09/29 - $22,731, 09/30 - $22,731, 10/01 - $22,718, 10/02 - $24,414, 10/03 - $24,431, 10/04 - $28,997, 10/05 - $29,010, 10/06 - $29,010, 10/07 - $29,010, 10/08 - $24,470, 10/09 - $24,460, 10/10 - $29,025, 10/11 - $24,463, 10/12 - $24,466, 10/13 - $24,466, 10/14 - $24,466, 10/15 - $22,767, 10/16 - $22,770, 10/17 - $22,770, 10/18 - $22,769, "
12月20日 週五,下午3:15。,TPE,下午2:50。,ICN,長榮航空、韓亞航空,需轉機 1 次的航班。,1 小時 55 分鐘,15 小時 35 分鐘,No,Boeing 787,BR 160,經濟艙,"08/19 - $31,117, 08/20 - $31,101, 08/21 - $31,082, 08/22 - $31,077, 08/23 - $31,077, 08/24 - $31,081, 08/25 - $31,081, 08/26 - $31,081, 08/27 - $31,068, 08/28 - $31,068, 08/29 - $31,078, 08/30 - $33,197, 08/31 - $33,193, 09/01 - $33,456, 09/02 - $33,456, 09/03 - $36,323, 09/04 - $31,325, 09/05 - $36,330, 09/06 - $36,334, 09/07 - $33,470, 09/08 - $33,470, 09/09 - $31,327, 09/10 - $36,326, 09/11 - $36,330, 09/12 - $36,338, 09/13 - $36,128, 09/14 - $36,126, 09/15 - $36,126, 09/16 - $36,126, 09/17 - $36,111, 09/18 - $36,104, 09/19 - $36,108, 09/20 - $36,113, 09/21 - $36,110, 09/22 - $36,110, 09/23 - $36,110, 09/24 - $36,112, 09/25 - $36,118, 09/26 - $33,250, 09/27 - $33,248, 09/28 - $33,239, 09/29 - $33,239, 09/30 - $33,239, 10/01 - $33,351, 10/02 - $33,356, 10/03 - $33,372, 10/04 - $33,375, 10/05 - $33,385, 10/06 - $33,385, 10/07 - $33,385, 10/08 - $33,407, 10/09 - $36,271, 10/10 - $36,273, 10/11 - $36,275, 10/12 - $36,276, 10/13 - $36,276, 10/14 - $36,276, 10/15 - $36,267, 10/16 - $36,269, 10/17 - $36,268, 10/18 - $36,268"
12月20日 週五,晚上9:15。,TPE,晚上8:55。,HKG,國泰航空,需轉機 1 次的航班。,未找到停留時間,15 小時 40 分鐘,No,Boeing 777,CX 479,經濟艙,"08/20 - $29,804, 08/21 - $29,759, 08/22 - $29,746, 08/23 - $29,744, 08/24 - $29,757, 08/25 - $29,757, 08/26 - $29,757, 08/27 - $29,725, 08/28 - $29,724, 08/29 - $29,742, 08/30 - $29,754, 08/31 - $29,742, 09/01 - $28,721, 09/02 - $28,721, 09/03 - $28,739, 09/04 - $28,746, 09/05 - $28,753, 09/06 - $28,761, 09/07 - $28,748, 09/08 - $28,748, 09/09 - $28,748, 09/10 - $29,976, 09/11 - $29,984, 09/12 - $17,489, 09/13 - $24,634, 09/14 - $24,632, 09/15 - $24,632, 09/16 - $24,632, 09/17 - $29,959, 09/18 - $29,943, 09/19 - $29,950, 09/20 - $29,963, 09/21 - $29,960, 09/22 - $29,960, 09/23 - $29,960, 09/24 - $29,966, 09/25 - $29,977, 09/26 - $29,958, 09/27 - $29,953, 09/28 - $29,934, 09/29 - $29,934, 09/30 - $29,934, 10/01 - $29,903, 10/02 - $29,917, 10/03 - $29,949, 10/04 - $29,956, 10/05 - $29,981, 10/06 - $29,981, 10/07 - $29,981, 10/08 - $30,029, 10/09 - $30,008, 10/10 - $30,011, 10/11 - $30,016, 10/12 - $30,020, 10/13 - $30,020, 10/14 - $30,020, 10/15 - $30,002, 10/16 - $30,008, 10/17 - $30,009, 10/18 - $30,007, "
12月20日 週五,上午9:30。,TSA,上午9:10。,HND,日本航空,需轉機 1 次的航班。,3 小時 5 分鐘,15 小時 40 分鐘,No,Boeing 787,JL 96,經濟艙,"08/20 - $28,088, 08/21 - $28,066, 08/22 - $28,062, 08/23 - $28,063, 08/24 - $28,068, 08/25 - $28,068, 08/26 - $28,068, 08/27 - $28,055, 08/28 - $28,055, 08/29 - $28,064, 08/30 - $28,069, 08/31 - $28,063, 09/01 - $28,063, 09/02 - $28,063, 09/03 - $28,070, 09/04 - $28,074, 09/05 - $28,081, 09/06 - $28,088, 09/07 - $27,873, 09/08 - $27,873, 09/09 - $27,873, 09/10 - $27,875, 09/11 - $27,878, 09/12 - $27,889, 09/13 - $27,889, 09/14 - $27,884, 09/15 - $27,884, 09/16 - $27,884, 09/17 - $27,869, 09/18 - $27,862, 09/19 - $27,864, 09/20 - $27,869, 09/21 - $27,864, 09/22 - $27,864, 09/23 - $27,864, 09/24 - $27,864, 09/25 - $27,871, 09/26 - $27,861, 09/27 - $27,858, 09/28 - $27,844, 09/29 - $27,844, 09/30 - $27,844, 10/01 - $27,836, 10/02 - $27,841, 10/03 - $27,858, 10/04 - $27,858, 10/05 - $27,867, 10/06 - $27,867, 10/07 - $27,867, 10/08 - $27,891, 10/09 - $27,881, 10/10 - $27,882, 10/11 - $27,883, 10/12 - $27,886, 10/13 - $27,886, 10/14 - $27,886, 10/15 - $25,075, 10/16 - $27,878, 10/17 - $27,878, 10/18 - $27,877, "
