出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月20日 週五,下午3:50。,TPE,"清晨7:15 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,1 小時 15 分鐘,12 小時 25 分鐘,No,Airbus A330,CX 443,經濟艙,"08/20 - $21,925, 08/21 - $21,888, 08/22 - $21,879, 08/23 - $21,878, 08/24 - $21,888, 08/25 - $21,888, 08/26 - $21,888, 08/27 - $23,669, 08/28 - $23,666, 08/29 - $23,681, 08/30 - $23,695, 08/31 - $23,685, 09/01 - $22,664, 09/02 - $22,664, 09/03 - $22,675, 09/04 - $22,685, 09/05 - $30,035, 09/06 - $30,040, 09/07 - $30,030, 09/08 - $30,030, 09/09 - $30,030, 09/10 - $30,019, 09/11 - $33,027, 09/12 - $33,038, 09/13 - $33,034, 09/14 - $33,038, 09/15 - $33,038, 09/16 - $33,038, 09/17 - $33,009, 09/18 - $32,997, 09/19 - $33,006, 09/20 - $33,021, 09/21 - $33,023, 09/22 - $33,023, 09/23 - $33,023, 09/24 - $33,029, 09/25 - $33,042, 09/26 - $33,028, 09/27 - $33,024, 09/28 - $33,008, 09/29 - $33,008, 09/30 - $33,008, 10/01 - $29,976, 10/02 - $29,995, 10/03 - $33,021, 10/04 - $33,027, 10/05 - $33,046, 10/06 - $33,046, 10/07 - $33,046, 10/08 - $34,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $34,146, 10/13 - $34,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
12月20日 週五,晚上8:15。,TPE,"中午12:00 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,1 小時 35 分鐘,12 小時 45 分鐘,No,Airbus A350,CX 531,經濟艙,"08/20 - $21,925, 08/21 - $21,888, 08/22 - $21,879, 08/23 - $21,878, 08/24 - $21,888, 08/25 - $21,888, 08/26 - $21,888, 08/27 - $21,869, 08/28 - $21,866, 08/29 - $21,881, 08/30 - $21,895, 08/31 - $21,885, 09/01 - $20,864, 09/02 - $20,864, 09/03 - $20,875, 09/04 - $22,685, 09/05 - $22,685, 09/06 - $22,685, 09/07 - $22,680, 09/08 - $30,030, 09/09 - $30,030, 09/10 - $30,019, 09/11 - $33,027, 09/12 - $33,038, 09/13 - $33,034, 09/14 - $33,038, 09/15 - $33,038, 09/16 - $33,038, 09/17 - $33,009, 09/18 - $32,997, 09/19 - $33,006, 09/20 - $33,021, 09/21 - $33,023, 09/22 - $33,023, 09/23 - $33,023, 09/24 - $33,029, 09/25 - $33,042, 09/26 - $33,028, 09/27 - $33,024, 09/28 - $33,008, 09/29 - $33,008, 09/30 - $33,008, 10/01 - $32,976, 10/02 - $32,995, 10/03 - $33,021, 10/04 - $33,027, 10/05 - $33,046, 10/06 - $33,046, 10/07 - $33,046, 10/08 - $34,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $34,146, 10/13 - $34,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
12月20日 週五,晚上11:55。,TPE,"下午4:05 (星期六, 12月 21)。",BNE,中華航空、澳洲航空,需轉機 1 次的航班。,2 小時 45 分鐘,13 小時 10 分鐘,No,Airbus A350,CI 53,經濟艙,"10/03 - $30,096, 10/04 - $30,098, 10/05 - $30,110, 10/06 - $30,110, 10/07 - $30,110, 10/08 - $30,131, 10/09 - $30,113, 10/10 - $30,105, 10/11 - $30,105, 10/12 - $30,111, 10/13 - $30,111, 10/14 - $30,111, 10/15 - $30,100, 10/16 - $30,101, 10/17 - $30,098, 10/18 - $30,089, "
12月20日 週五,晚上7:40。,TPE,"中午12:00 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,2 小時 10 分鐘,13 小時 20 分鐘,No,Boeing 777,CX 451,經濟艙,"08/20 - $21,925, 08/21 - $21,888, 08/22 - $21,879, 08/23 - $21,878, 08/24 - $21,878, 08/25 - $21,888, 08/26 - $21,888, 08/27 - $21,869, 08/28 - $21,866, 08/29 - $21,881, 08/30 - $21,895, 08/31 - $21,885, 09/01 - $20,864, 09/02 - $20,864, 09/03 - $20,875, 09/04 - $22,685, 09/05 - $22,685, 09/06 - $22,690, 09/07 - $22,680, 09/08 - $30,030, 09/09 - $30,030, 09/10 - $30,019, 09/11 - $33,027, 09/12 - $33,038, 09/13 - $33,034, 09/14 - $33,038, 09/15 - $33,038, 09/16 - $33,038, 09/17 - $33,009, 09/18 - $32,997, 09/19 - $33,006, 09/20 - $33,021, 09/21 - $33,023, 09/22 - $33,023, 09/23 - $33,023, 09/24 - $33,029, 09/25 - $33,042, 09/26 - $33,028, 09/27 - $33,024, 09/28 - $33,008, 09/29 - $33,008, 09/30 - $33,008, 10/01 - $32,976, 10/02 - $32,995, 10/03 - $33,021, 10/04 - $33,027, 10/05 - $33,046, 10/06 - $33,046, 10/07 - $33,046, 10/08 - $34,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $34,146, 10/13 - $34,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
12月20日 週五,下午5:00。,TPE,"上午9:35 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,2 小時 15 分鐘,13 小時 35 分鐘,No,Airbus A330,CX 421,經濟艙,"10/07 - $30,046, 10/08 - $31,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $31,146, 10/13 - $31,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
12月20日 週五,下午4:50。,TSA,"上午10:30 (星期六, 12月 21)。",HND,全日空航空,需轉機 1 次的航班。,2 小時 5 分鐘,14 小時 40 分鐘,No,Boeing 787,NH 854,經濟艙,"09/12 - $123,820, 09/13 - $123,815, 09/14 - $123,813, 09/15 - $123,813, 09/16 - $123,813, 09/17 - $123,771, 09/18 - $123,752, 09/19 - $123,759, 09/20 - $123,780, 09/21 - $123,775, 09/22 - $123,775, 09/23 - $123,775, 09/24 - $123,781, 09/25 - $123,800, 09/26 - $123,774, 09/27 - $123,768, 09/28 - $123,740, 09/29 - $123,740, 09/30 - $123,740, 10/01 - $123,321, 10/02 - $123,347, 10/03 - $123,389, 10/04 - $123,391, 10/05 - $123,423, 10/06 - $123,423, 10/07 - $123,423, 10/08 - $123,481, 10/09 - $123,451, 10/10 - $123,453, 10/11 - $123,455, 10/12 - $123,462, 10/13 - $123,462, 10/14 - $123,462, 10/15 - $123,436, 10/16 - $123,436, 10/17 - $123,442, 10/18 - $123,437, "
12月20日 週五,下午3:50。,TPE,"上午9:35 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,3 小時 25 分鐘,14 小時 45 分鐘,No,Airbus A330,CX 443,經濟艙,"08/20 - $23,725, 08/21 - $23,688, 08/22 - $31,029, 08/23 - $31,028, 08/24 - $31,038, 08/25 - $31,038, 08/26 - $31,038, 08/27 - $31,019, 08/28 - $31,016, 08/29 - $31,031, 08/30 - $31,045, 08/31 - $31,035, 09/01 - $30,014, 09/02 - $30,014, 09/03 - $30,025, 09/04 - $30,035, 09/05 - $30,035, 09/06 - $30,040, 09/07 - $30,030, 09/08 - $30,030, 09/09 - $30,030, 09/10 - $30,019, 09/11 - $33,027, 09/12 - $33,038, 09/13 - $33,034, 09/14 - $33,038, 09/15 - $33,038, 09/16 - $33,038, 09/17 - $22,659, 09/18 - $22,647, 09/19 - $30,006, 09/20 - $30,021, 09/21 - $33,023, 09/22 - $33,023, 09/23 - $33,023, 09/24 - $33,029, 09/25 - $33,042, 09/26 - $33,028, 09/27 - $33,024, 09/28 - $33,008, 09/29 - $33,008, 09/30 - $33,008, 10/01 - $29,976, 10/02 - $29,995, 10/03 - $30,021, 10/04 - $30,027, 10/05 - $30,046, 10/06 - $30,046, 10/07 - $30,046, 10/08 - $31,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $31,146, 10/13 - $31,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
12月20日 週五,下午1:40。,TPE,"清晨7:30 (星期六, 12月 21)。",SZX,中國南方航空,需轉機 1 次的航班。,2 小時 50 分鐘,14 小時 50 分鐘,No,Airbus A330,CZ 3088,經濟艙,"08/20 - $9,965, 08/21 - $9,962, 08/22 - $9,964, 08/23 - $9,964, 08/24 - $9,964, 08/25 - $9,964, 08/26 - $9,964, 08/27 - $9,969, 08/28 - $9,966, 08/29 - $9,970, 08/30 - $9,972, 08/31 - $9,974, 09/01 - $9,974, 09/02 - $9,974, 09/03 - $9,974, 09/04 - $9,977, 09/05 - $9,972, 09/06 - $9,971, 09/07 - $9,971, 09/08 - $9,971, 09/09 - $9,971, 09/10 - $9,963, 09/11 - $9,963, 09/12 - $9,965, 09/13 - $9,964, 09/14 - $9,969, 09/15 - $9,969, 09/16 - $9,969, 09/17 - $9,963, 09/18 - $9,963, 09/19 - $9,967, 09/20 - $9,973, 09/21 - $9,978, 09/22 - $9,978, 09/23 - $9,978, 09/24 - $9,981, 09/25 - $9,988, 09/26 - $9,987, 09/27 - $9,986, 09/28 - $9,985, 09/29 - $9,985, 09/30 - $9,985, 10/01 - $9,978, 10/02 - $9,985, 10/03 - $9,990, 10/04 - $9,990, 10/05 - $9,991, 10/06 - $9,991, 10/07 - $9,991, 10/08 - $9,993, 10/09 - $9,985, 10/10 - $9,981, 10/11 - $9,980, 10/12 - $9,981, 10/13 - $9,981, 10/14 - $9,981, 10/15 - $9,980, 10/16 - $9,978, 10/17 - $9,974, 10/18 - $14,910, "
12月20日 週五,下午1:20。,TPE,"清晨7:15 (星期六, 12月 21)。",HKG,國泰航空,需轉機 1 次的航班。,3 小時 45 分鐘,14 小時 55 分鐘,No,Airbus A330,CX 495,經濟艙,"10/06 - $33,046, 10/07 - $33,046, 10/08 - $34,163, 10/09 - $31,141, 10/10 - $31,139, 10/11 - $31,141, 10/12 - $34,146, 10/13 - $34,146, 10/14 - $31,146, 10/15 - $31,131, 10/16 - $34,134, 10/17 - $34,133, 10/18 - $34,126, "
