出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,機型,航班代碼,艙等,價格歷史
10月23日 週三,中午12:10。,TPE,下午4:30。,NRT,泰國獅航,直達航班。,Non-stop,3 小時 20 分鐘,Boeing 737,SL 394,經濟艙,"['60 天前 - $4,794', '59 天前 - $4,304', '58 天前 - $4,690', '57 天前 - $4,690', '56 天前 - $4,690', '55 天前 - $4,690', '54 天前 - $4,944', '53 天前 - $4,845', '52 天前 - $4,847', '51 天前 - $4,845', '50 天前 - $4,845', '49 天前 - $4,845', '48 天前 - $4,845', '47 天前 - $4,858', '46 天前 - $4,854', '45 天前 - $5,459', '44 天前 - $5,459', '43 天前 - $5,459', '42 天前 - $5,459', '41 天前 - $5,459', '40 天前 - $5,459', '39 天前 - $5,464', '38 天前 - $5,464', '37 天前 - $5,464', '36 天前 - $5,464', '35 天前 - $5,464', '34 天前 - $5,464', '33 天前 - $5,469', '32 天前 - $5,465', '31 天前 - $5,465', '30 天前 - $5,465', '29 天前 - $5,465', '28 天前 - $5,465', '27 天前 - $5,465', '26 天前 - $5,484', '25 天前 - $5,479', '24 天前 - $4,879', '23 天前 - $4,887', '22 天前 - $4,889', '21 天前 - $4,889', '20 天前 - $4,889', '19 天前 - $4,897', '18 天前 - $4,897', '17 天前 - $4,897', '16 天前 - $6,195', '15 天前 - $6,197', '14 天前 - $6,197', '13 天前 - $5,497', '12 天前 - $5,497', '11 天前 - $4,912', '10 天前 - $4,912', '9 天前 - $4,912', '8 天前 - $4,916', '7 天前 - $4,517', '6 天前 - $4,517', '5 天前 - $4,517', '4 天前 - $4,122', '3 天前 - $4,121', '2 天前 - $4,112', '1 天前 - $4,106', '今天 - $4,106']"
10月23日 週三,下午2:15。,TPE,下午6:35。,NRT,台灣虎航,直達航班。,Non-stop,3 小時 20 分鐘,Airbus A320,IT 202,經濟艙,"['60 天前 - $4,099', '59 天前 - $4,099', '58 天前 - $4,099', '57 天前 - $4,099', '56 天前 - $4,099', '55 天前 - $4,099', '54 天前 - $4,099', '53 天前 - $4,099', '52 天前 - $4,599', '51 天前 - $4,599', '50 天前 - $4,599', '49 天前 - $4,599', '48 天前 - $4,599', '47 天前 - $4,599', '46 天前 - $4,599', '45 天前 - $4,599', '44 天前 - $4,599', '43 天前 - $4,599', '42 天前 - $4,599', '41 天前 - $4,599', '40 天前 - $4,599', '39 天前 - $4,599', '38 天前 - $4,599', '37 天前 - $4,599', '36 天前 - $4,599', '35 天前 - $4,599', '34 天前 - $4,599', '33 天前 - $4,599', '32 天前 - $5,099', '31 天前 - $5,099', '30 天前 - $5,099', '29 天前 - $5,099', '28 天前 - $5,099', '27 天前 - $5,099', '26 天前 - $5,099', '25 天前 - $5,099', '24 天前 - $4,099', '23 天前 - $4,099', '22 天前 - $4,599', '21 天前 - $4,599', '20 天前 - $4,599', '19 天前 - $4,599', '18 天前 - $4,599', '17 天前 - $3,699', '16 天前 - $3,699', '15 天前 - $3,699', '14 天前 - $3,699', '13 天前 - $4,099', '12 天前 - $4,099', '11 天前 - $4,099', '10 天前 - $4,099', '9 天前 - $4,599', '8 天前 - $4,599', '7 天前 - $4,599', '6 天前 - $4,599', '5 天前 - $4,599', '4 天前 - $4,599', '3 天前 - $4,599', '2 天前 - $4,599', '1 天前 - $4,599', '今天 - $4,599']"
10月23日 週三,下午1:10。,TPE,下午5:35。,NRT,捷星日本航空,直達航班。,Non-stop,3 小時 25 分鐘,Airbus A320,GK 14,經濟艙,"['57 天前 - $4,489', '56 天前 - $4,489', '55 天前 - $4,489', '54 天前 - $4,489', '53 天前 - $4,489', '52 天前 - $4,489', '51 天前 - $4,489', '50 天前 - $4,489', '49 天前 - $4,489', '48 天前 - $4,489', '47 天前 - $4,489', '46 天前 - $4,489', '45 天前 - $4,489', '44 天前 - $4,489', '43 天前 - $4,489', '42 天前 - $4,489', '41 天前 - $4,189', '40 天前 - $4,189', '39 天前 - $3,889', '38 天前 - $3,889', '37 天前 - $4,189', '36 天前 - $4,189', '35 天前 - $4,189', '34 天前 - $4,189', '33 天前 - $4,189', '32 天前 - $4,189', '31 天前 - $3,889', '30 天前 - $4,189', '29 天前 - $4,189', '28 天前 - $4,189', '27 天前 - $4,189', '26 天前 - $4,189', '25 天前 - $3,889', '24 天前 - $3,889', '23 天前 - $3,889', '22 天前 - $3,889', '21 天前 - $3,589', '20 天前 - $3,589', '19 天前 - $3,889', '18 天前 - $4,189', '17 天前 - $3,716', '16 天前 - $3,716', '15 天前 - $3,716', '14 天前 - $3,589', '13 天前 - $3,716', '12 天前 - $4,189', '11 天前 - $3,716', '10 天前 - $4,189', '9 天前 - $4,189', '8 天前 - $4,189', '7 天前 - $4,189', '6 天前 - $4,189', '5 天前 - $4,489', '4 天前 - $4,489', '3 天前 - $4,789', '2 天前 - $4,789', '1 天前 - $4,789', '今天 - $4,789']"
10月23日 週三,上午9:30。,TPE,下午2:00。,NRT,樂桃航空,直達航班。,Non-stop,3 小時 30 分鐘,Airbus A320neo,MM 622,經濟艙,"['60 天前 - $4,530', '59 天前 - $4,530', '58 天前 - $4,530', '57 天前 - $4,530', '56 天前 - $4,530', '55 天前 - $4,530', '54 天前 - $4,530', '53 天前 - $4,530', '52 天前 - $4,530', '51 天前 - $4,530', '50 天前 - $4,530', '49 天前 - $4,130', '48 天前 - $4,130', '47 天前 - $4,130', '46 天前 - $4,130', '45 天前 - $4,130', '44 天前 - $4,130', '43 天前 - $4,130', '42 天前 - $4,130', '41 天前 - $4,130', '40 天前 - $4,130', '39 天前 - $4,130', '38 天前 - $4,130', '37 天前 - $4,130', '36 天前 - $4,530', '35 天前 - $4,530', '34 天前 - $4,530', '33 天前 - $4,530', '32 天前 - $4,130', '31 天前 - $4,130', '30 天前 - $4,130', '29 天前 - $4,530', '28 天前 - $4,530', '27 天前 - $4,130', '26 天前 - $4,130', '25 天前 - $4,130', '24 天前 - $4,130', '23 天前 - $4,130', '22 天前 - $4,130', '21 天前 - $4,130', '20 天前 - $4,130', '19 天前 - $4,130', '18 天前 - $3,730', '17 天前 - $4,130', '16 天前 - $4,530', '15 天前 - $4,530', '14 天前 - $4,530', '13 天前 - $4,530', '12 天前 - $4,530', '11 天前 - $4,530', '10 天前 - $4,530', '9 天前 - $4,530', '8 天前 - $4,530', '7 天前 - $4,530', '6 天前 - $4,530', '5 天前 - $4,930', '4 天前 - $4,930', '3 天前 - $4,930', '2 天前 - $4,930', '1 天前 - $4,930', '今天 - $4,930']"
10月23日 週三,清晨7:05。,TPE,上午11:25。,NRT,酷航,直達航班。,Non-stop,3 小時 20 分鐘,Boeing 787,TR 898,經濟艙,"['30 天前 - $5,488', '29 天前 - $5,488', '28 天前 - $5,488', '27 天前 - $5,488', '26 天前 - $5,488', '25 天前 - $5,488', '24 天前 - $5,488', '23 天前 - $5,488', '22 天前 - $5,488', '21 天前 - $5,488', '20 天前 - $5,488', '19 天前 - $5,488', '18 天前 - $5,488', '17 天前 - $4,788', '16 天前 - $6,188', '15 天前 - $5,488', '14 天前 - $5,488', '13 天前 - $5,488', '12 天前 - $5,488', '11 天前 - $3,188', '10 天前 - $3,188', '9 天前 - $4,188', '8 天前 - $4,188', '7 天前 - $4,188', '6 天前 - $4,188', '5 天前 - $4,788', '4 天前 - $4,788', '3 天前 - $4,788', '2 天前 - $5,488', '1 天前 - $5,488', '今天 - $5,488']"
10月23日 週三,下午3:30。,TPE,晚上7:55。,NRT,台灣虎航,直達航班。,Non-stop,3 小時 25 分鐘,Airbus A320,IT 700,經濟艙,"['60 天前 - $2,088', '59 天前 - $2,088', '58 天前 - $3,769', '57 天前 - $4,099', '56 天前 - $4,099', '55 天前 - $4,099', '54 天前 - $4,099', '53 天前 - $4,099', '52 天前 - $4,099', '51 天前 - $4,099', '50 天前 - $4,099', '49 天前 - $4,599', '48 天前 - $4,599', '47 天前 - $4,599', '46 天前 - $4,599', '45 天前 - $4,599', '44 天前 - $4,599', '43 天前 - $4,599', '42 天前 - $4,599', '41 天前 - $4,599', '40 天前 - $4,599', '39 天前 - $4,099', '38 天前 - $4,099', '37 天前 - $4,099', '36 天前 - $4,099', '35 天前 - $4,099', '34 天前 - $4,099', '33 天前 - $4,099', '32 天前 - $4,599', '31 天前 - $4,599', '30 天前 - $4,599', '29 天前 - $4,599', '28 天前 - $4,599', '27 天前 - $4,599', '26 天前 - $4,599', '25 天前 - $4,599', '24 天前 - $4,099', '23 天前 - $4,099', '22 天前 - $4,099', '21 天前 - $4,099', '20 天前 - $4,099', '19 天前 - $4,099', '18 天前 - $4,099', '17 天前 - $3,699', '16 天前 - $3,699', '15 天前 - $3,699', '14 天前 - $3,699', '13 天前 - $3,699', '12 天前 - $3,699', '11 天前 - $3,699', '10 天前 - $4,099', '9 天前 - $3,699', '8 天前 - $3,699', '7 天前 - $3,699', '6 天前 - $4,599', '5 天前 - $4,599', '4 天前 - $4,599', '3 天前 - $4,599', '2 天前 - $4,599', '1 天前 - $4,599', '今天 - $4,599']"
10月23日 週三,清晨6:35。,TPE,上午11:00。,NRT,台灣虎航,直達航班。,Non-stop,3 小時 25 分鐘,Airbus A320,IT 200,經濟艙,"['61 天前 - $5,599', '60 天前 - $5,599', '59 天前 - $5,599', '58 天前 - $5,599', '57 天前 - $5,599', '56 天前 - $5,599', '55 天前 - $5,599', '54 天前 - $5,599', '53 天前 - $5,599', '52 天前 - $5,599', '51 天前 - $5,599', '50 天前 - $5,599', '49 天前 - $5,599', '48 天前 - $5,599', '47 天前 - $5,599', '46 天前 - $5,599', '45 天前 - $5,599', '44 天前 - $5,599', '43 天前 - $5,599', '42 天前 - $5,599', '41 天前 - $5,599', '40 天前 - $5,599', '39 天前 - $5,599', '38 天前 - $5,599', '37 天前 - $5,599', '36 天前 - $5,599', '35 天前 - $5,599', '34 天前 - $5,599', '33 天前 - $5,599', '32 天前 - $5,599', '31 天前 - $5,599', '30 天前 - $5,599', '29 天前 - $5,599', '28 天前 - $5,599', '27 天前 - $5,599', '26 天前 - $5,599', '25 天前 - $5,599', '24 天前 - $5,599', '23 天前 - $5,599', '22 天前 - $5,599', '21 天前 - $5,599', '20 天前 - $5,599', '19 天前 - $5,599', '18 天前 - $5,599', '17 天前 - $5,599', '16 天前 - $5,599', '15 天前 - $5,599', '14 天前 - $5,599', '13 天前 - $5,599', '12 天前 - $5,599', '11 天前 - $3,699', '10 天前 - $3,699', '9 天前 - $4,099', '8 天前 - $4,099', '7 天前 - $4,099', '6 天前 - $4,099', '5 天前 - $4,599', '4 天前 - $4,599', '3 天前 - $4,599', '2 天前 - $4,599', '1 天前 - $5,099', '今天 - $5,099']"
10月23日 週三,凌晨2:10。,TPE,清晨6:40。,NRT,樂桃航空,直達航班。,Non-stop,3 小時 30 分鐘,Airbus A320neo,MM 620,經濟艙,"['61 天前 - $4,930', '60 天前 - $4,530', '59 天前 - $4,530', '58 天前 - $4,530', '57 天前 - $4,530', '56 天前 - $4,530', '55 天前 - $4,530', '54 天前 - $4,530', '53 天前 - $4,530', '52 天前 - $4,530', '51 天前 - $4,530', '50 天前 - $4,930', '49 天前 - $4,930', '48 天前 - $4,530', '47 天前 - $4,530', '46 天前 - $4,530', '45 天前 - $4,530', '44 天前 - $4,530', '43 天前 - $4,530', '42 天前 - $4,930', '41 天前 - $4,930', '40 天前 - $4,930', '39 天前 - $4,930', '38 天前 - $4,930', '37 天前 - $4,930', '36 天前 - $4,930', '35 天前 - $4,930', '34 天前 - $4,930', '33 天前 - $4,530', '32 天前 - $4,530', '31 天前 - $4,530', '30 天前 - $4,530', '29 天前 - $4,530', '28 天前 - $4,530', '27 天前 - $4,530', '26 天前 - $4,530', '25 天前 - $4,530', '24 天前 - $4,530', '23 天前 - $4,530', '22 天前 - $4,530', '21 天前 - $4,930', '20 天前 - $4,930', '19 天前 - $4,930', '18 天前 - $4,930', '17 天前 - $4,530', '16 天前 - $4,930', '15 天前 - $4,930', '14 天前 - $4,930', '13 天前 - $4,930', '12 天前 - $4,930', '11 天前 - $4,930', '10 天前 - $4,930', '9 天前 - $4,930', '8 天前 - $5,430', '7 天前 - $5,430', '6 天前 - $5,430', '5 天前 - $5,430', '4 天前 - $5,430', '3 天前 - $5,430', '2 天前 - $5,430', '1 天前 - $5,430', '今天 - $5,430']"
10月23日 週三,下午3:40。,TPE,晚上8:05。,NRT,日本航空,直達航班。,Non-stop,3 小時 25 分鐘,Boeing 737,JL 8664,經濟艙,"['61 天前 - $7,455', '60 天前 - $7,458', '59 天前 - $7,454', '58 天前 - $7,444', '57 天前 - $7,444', '56 天前 - $7,444', '55 天前 - $7,443', '54 天前 - $7,442', '53 天前 - $7,440', '52 天前 - $7,432', '51 天前 - $7,771', '50 天前 - $7,771', '49 天前 - $7,771', '48 天前 - $7,761', '47 天前 - $7,750', '46 天前 - $7,747', '45 天前 - $7,415', '44 天前 - $7,750', '43 天前 - $7,750', '42 天前 - $7,418', '41 天前 - $7,411', '40 天前 - $7,411', '39 天前 - $7,415', '38 天前 - $7,417', '37 天前 - $7,414', '36 天前 - $10,492', '35 天前 - $7,414', '34 天前 - $7,419', '33 天前 - $10,499', '32 天前 - $7,424', '31 天前 - $7,426', '30 天前 - $7,754', '29 天前 - $7,754', '28 天前 - $7,754', '27 天前 - $7,753', '26 天前 - $7,757', '25 天前 - $7,760', '24 天前 - $7,759', '23 天前 - $7,759', '22 天前 - $7,759', '21 天前 - $7,759', '20 天前 - $7,749', '19 天前 - $7,744', '18 天前 - $7,746', '17 天前 - $7,750', '16 天前 - $7,749', '15 天前 - $7,749', '14 天前 - $7,749', '13 天前 - $7,750', '12 天前 - $7,753', '11 天前 - $7,748', '10 天前 - $7,747', '9 天前 - $7,741', '8 天前 - $7,741', '7 天前 - $7,741', '6 天前 - $7,730', '5 天前 - $7,735', '4 天前 - $7,744', '3 天前 - $7,746', '2 天前 - $7,753', '1 天前 - $7,753', '今天 - $7,753']"
10月23日 週三,下午3:10。,TPE,晚上7:25。,NRT,星宇航空,直達航班。,Non-stop,3 小時 15 分鐘,Airbus A330-900neo,JX 804,經濟艙,"['61 天前 - $9,015', '60 天前 - $9,017', '59 天前 - $9,015', '58 天前 - $9,697', '57 天前 - $9,697', '56 天前 - $9,697', '55 天前 - $9,697', '54 天前 - $9,697', '53 天前 - $9,696', '52 天前 - $9,693', '51 天前 - $9,695', '50 天前 - $9,695', '49 天前 - $9,695', '48 天前 - $9,691', '47 天前 - $9,687', '46 天前 - $9,686', '45 天前 - $9,686', '44 天前 - $9,687', '43 天前 - $9,687', '42 天前 - $9,687', '41 天前 - $9,684', '40 天前 - $9,684', '39 天前 - $8,510', '38 天前 - $8,215', '37 天前 - $8,214', '36 天前 - $8,214', '35 天前 - $8,214', '34 天前 - $8,216', '33 天前 - $8,217', '32 天前 - $8,218', '31 天前 - $8,218', '30 天前 - $8,217', '29 天前 - $8,137', '28 天前 - $7,429', '27 天前 - $7,428', '26 天前 - $7,429', '25 天前 - $7,431', '24 天前 - $7,430', '23 天前 - $7,430', '22 天前 - $7,430', '21 天前 - $7,430', '20 天前 - $7,427', '19 天前 - $7,425', '18 天前 - $7,426', '17 天前 - $7,427', '16 天前 - $7,427', '15 天前 - $7,427', '14 天前 - $7,427', '13 天前 - $7,427', '12 天前 - $7,428', '11 天前 - $7,426', '10 天前 - $7,426', '9 天前 - $7,424', '8 天前 - $7,424', '7 天前 - $7,424', '6 天前 - $8,128', '5 天前 - $8,204', '4 天前 - $8,207', '3 天前 - $8,208', '2 天前 - $8,210', '1 天前 - $8,210']"
