出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,Departure time: 2:05 PM.,TPE,Arrival time: 4:05 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 111,Economy,$59
2025-01-20 Monday,Departure time: 10:50 AM.,TPE,Arrival time: 12:50 PM.,HKG,Greater Bay Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HB 703,Economy,$72
2025-01-20 Monday,Departure time: 11:55 AM.,TPE,Arrival time: 1:55 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 253,Economy,$88
2025-01-20 Monday,Departure time: 2:50 PM.,TPE,Arrival time: 4:55 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 113,Economy,$59
2025-01-20 Monday,Departure time: 5:40 PM.,TPE,Arrival time: 7:35 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 115,Economy,$68
2025-01-20 Monday,Departure time: 9:10 PM.,TPE,Arrival time: 11:10 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 117,Economy,$68
2025-01-20 Monday,Departure time: 9:20 PM.,TPE,Arrival time: 11:20 PM.,HKG,Greater Bay Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HB 705,Economy,$72
2025-01-20 Monday,Departure time: 3:45 PM.,TPE,Arrival time: 6:05 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 255,Economy,$88
2025-01-20 Monday,Departure time: 8:25 PM.,TPE,Arrival time: 10:25 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 285,Economy,$88
2025-01-20 Monday,Departure time: 9:45 PM.,TPE,Arrival time: 11:45 PM.,HKG,Hong Kong Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HX 283,Economy,$88
2025-01-20 Monday,Departure time: 8:05 AM.,TPE,Arrival time: 10:10 AM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,JX 233,Economy,$102
2025-01-20 Monday,Departure time: 4:30 PM.,TPE,Arrival time: 6:30 PM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,JX 235,Economy,$102
2025-01-20 Monday,Departure time: 7:15 AM.,TPE,Arrival time: 9:15 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 601,Economy,$112
2025-01-20 Monday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 903,Economy,$112
2025-01-20 Monday,Departure time: 10:50 AM.,TPE,Arrival time: 12:55 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 909,Economy,$112
2025-01-20 Monday,Departure time: 2:30 PM.,TPE,Arrival time: 4:30 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 915,Economy,$112
2025-01-20 Monday,Departure time: 4:55 PM.,TPE,Arrival time: 7:00 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 919,Economy,$112
2025-01-20 Monday,Departure time: 6:10 PM.,TPE,Arrival time: 8:10 PM.,HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 923,Economy,$112
2025-01-20 Monday,Departure time: 10:30 PM.,TPE,"Arrival time: 12:20 AM on  Tuesday, January 21.",HKG,China Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CI 607,Economy,$112
2025-01-20 Monday,Departure time: 7:00 AM.,TPE,Arrival time: 9:00 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 891,Economy,$116
2025-01-20 Monday,Departure time: 8:05 AM.,TPE,Arrival time: 10:05 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 851,Economy,$116
2025-01-20 Monday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 867,Economy,$116
2025-01-20 Monday,Departure time: 12:25 PM.,TPE,Arrival time: 2:20 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 869,Economy,$116
2025-01-20 Monday,Departure time: 2:25 PM.,TPE,Arrival time: 4:25 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 855,Economy,$116
2025-01-20 Monday,Departure time: 4:35 PM.,TPE,Arrival time: 6:30 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 871,Economy,$116
2025-01-20 Monday,Departure time: 6:10 PM.,TPE,Arrival time: 8:05 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 857,Economy,$116
2025-01-20 Monday,Departure time: 7:00 PM.,TPE,Arrival time: 8:50 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 809,Economy,$116
