iter	RMSE
0	2.694199756
1	2.680020288
2	2.664568438
3	2.65352728
4	2.642270558
5	2.629866593
6	2.616658551
7	2.605755134
8	2.596110818
9	2.586038742
10	2.577599122
11	2.569456177
12	2.562454449
13	2.555058322
14	2.549292253
15	2.542332064
16	2.537821228
17	2.533548302
18	2.527233522
19	2.521703096
20	2.516428624
21	2.513449659
22	2.509481429
23	2.50524913
24	2.502560513
25	2.498502461
26	2.495011842
27	2.493876669
28	2.491155442
29	2.487337062
30	2.484145671
31	2.481323443
32	2.478341477
33	2.475611714
34	2.472545391
35	2.47059447
36	2.466273066
37	2.464147295
38	2.461817783
39	2.459644675
40	2.4572292
41	2.455090093
42	2.452773939
43	2.450265983
44	2.448673886
45	2.446667094
46	2.444572271
47	2.442140801
48	2.440614688
49	2.439233627
50	2.438099521
51	2.436859886
52	2.43520897
53	2.434388068
54	2.432732165
55	2.431215309
56	2.429788524
57	2.427736202
58	2.426675123
59	2.425450388
60	2.423990018
61	2.423843595
62	2.423234901
63	2.421255166
64	2.420504517
65	2.418390014
66	2.417579858
67	2.415576496
68	2.413254207
69	2.412164906
70	2.411692167
71	2.410959401
72	2.40927838
73	2.407657568
74	2.406378511
75	2.405137982
76	2.404592524
77	2.40348885
78	2.402765411
79	2.401021568
80	2.398685651
81	2.398044048
82	2.396575412
83	2.395549236
84	2.394031169
85	2.392018532
86	2.391111918
87	2.39026281
88	2.388348106
89	2.386620106
90	2.385651543
91	2.38401686
92	2.382878936
93	2.380659702
94	2.378986804
95	2.378329921
96	2.376895805
97	2.375449523
98	2.373969627
99	2.373092589
100	2.372027415
101	2.371449724
102	2.370762518
103	2.37033926
104	2.369975462
105	2.369745447
106	2.368605619
107	2.368163025
108	2.366832805
109	2.365521521
110	2.364201654
111	2.364117569
112	2.363206748
113	2.361754492
114	2.360971293
115	2.35927402
116	2.358371541
117	2.357394171
118	2.356634851
119	2.355455974
120	2.354017723
121	2.353679683
122	2.352143344
123	2.351036923
124	2.348306574
125	2.347575376
126	2.346247658
127	2.344996359
128	2.344579773
129	2.343682313
130	2.342823832
131	2.341436626
132	2.340757561
133	2.340488377
134	2.339146933
135	2.338399291
136	2.337322989
137	2.336778723
138	2.335760871
139	2.335322257
140	2.333746645
141	2.331974659
142	2.330797143
143	2.32956936
144	2.328853368
145	2.327950811
146	2.326590496
147	2.32494645
148	2.323367633
149	2.322479915
150	2.3217086
151	2.319785484
152	2.31815193
153	2.316842864
154	2.316258599
155	2.315231278
156	2.314740797
157	2.314223555
158	2.313361654
159	2.312772017
160	2.311280883
161	2.310058354
162	2.308934755
163	2.30820332
164	2.306054064
165	2.305074357
166	2.304739657
167	2.302685843
168	2.302340867
169	2.301339299
170	2.300034773
171	2.298986044
172	2.298071217
173	2.296782762
174	2.295492947
175	2.294467699
176	2.293478557
177	2.292716429
178	2.291607492
179	2.290786036
180	2.289849358
181	2.289058242
182	2.288310383
183	2.286864176
184	2.285313813
185	2.28459224
186	2.28298785
187	2.28233334
188	2.281667255
189	2.280373468
190	2.279586206
191	2.278598479
192	2.277794034
193	2.276447128
194	2.275261295
195	2.274429503
196	2.273514306
197	2.27216076
198	2.270967083
199	2.270238204
