iter	Passed	Remaining
0	0	185
1	1	158
2	2	161
3	3	150
4	3	143
5	4	141
6	5	141
7	5	136
8	6	134
9	6	131
10	7	133
11	8	137
12	9	138
13	10	138
14	10	135
15	11	134
16	12	133
17	13	134
18	14	134
19	14	132
20	15	132
21	16	130
22	16	128
23	17	128
24	18	126
25	18	126
26	19	125
27	20	122
28	20	121
29	21	120
30	21	119
31	22	118
32	23	117
33	23	116
34	24	115
35	25	114
36	25	114
37	26	114
38	27	113
39	28	112
40	28	111
41	29	111
42	30	110
43	30	109
44	31	108
45	32	107
46	32	106
47	33	106
48	33	104
49	34	103
50	35	102
51	35	101
52	36	101
53	37	100
54	37	99
55	38	98
56	38	97
57	39	96
58	40	96
59	40	95
60	41	94
61	41	93
62	42	92
63	43	91
64	43	90
65	44	89
66	44	89
67	45	88
68	46	87
69	46	86
70	47	86
71	48	85
72	48	84
73	49	83
74	50	83
75	50	82
76	51	82
77	52	81
78	53	81
79	53	80
80	54	80
81	55	79
82	56	79
83	56	78
84	57	77
85	58	77
86	58	76
87	59	75
88	60	75
89	60	74
90	61	73
91	62	73
92	63	72
93	63	72
94	64	71
95	65	70
96	65	69
97	66	68
98	66	68
99	67	67
100	67	66
101	68	65
102	69	65
103	69	64
104	70	63
105	70	62
106	71	62
107	72	61
108	72	60
109	73	60
110	74	59
111	74	58
112	75	57
113	75	57
114	76	56
115	77	55
116	78	55
117	78	54
118	79	53
119	80	53
120	80	52
121	81	51
122	81	51
123	82	50
124	83	49
125	83	49
126	84	48
127	85	47
128	85	47
129	86	46
130	87	45
131	88	45
132	88	44
133	89	43
134	90	43
135	90	42
136	91	41
137	91	41
138	92	40
139	93	39
140	94	39
141	95	38
142	95	38
143	96	37
144	97	36
145	98	36
146	98	35
147	99	34
148	100	34
149	100	33
150	101	32
151	101	32
152	102	31
153	103	30
154	104	30
155	104	29
156	105	28
157	106	28
158	106	27
159	107	26
160	107	26
161	108	25
162	109	24
163	110	24
164	110	23
165	111	22
166	112	22
167	112	21
168	113	20
169	113	20
170	114	19
171	115	18
172	116	18
173	116	17
174	117	16
175	118	16
176	118	15
177	119	14
178	120	14
179	120	13
180	121	12
181	122	12
182	122	11
183	123	10
184	124	10
185	124	9
186	125	8
187	126	8
188	127	7
189	127	6
190	128	6
191	128	5
192	129	4
193	130	4
194	130	3
195	131	2
196	132	2
197	132	1
198	133	0
199	134	0
